"Date","Commodity","Variant","Price (PHP)","Created At","Updated At"
"2026-04-09","Rice","Premium, 5% broken","55.87","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Rice","Well Milled, 1-19% bran streak","50.03","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Rice","Regular Milled, 20-40% bran streak","44.7","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Corn","White Cob, Glutinous","78.64","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Corn","Grits White, Food Grade","120","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Corn","Grits Yellow, Food Grade","120","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Corn","Grits, Feed Grade","46.67","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Ampalaya","4-5 pcs/kg","117.57","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Chili","Green Siling Haba","92.91","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Eggplant","3-4 Small Bundles","77.18","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Pechay","3-4 Small Bundles","71.94","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Pole Sitao","3-4 Small Bundles","105.22","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Squash","Suprema Variety","69.82","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Tomato","15-18 pcs/kg","60.76","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Bell Pepper","Green, Local Medium (151-250gm/pc)","272.67","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Bell Pepper","Red, Local Medium (151-250gm/pc)","276.89","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Broccoli","Local Medium (8-10 cm diameter/bunch hd)","155","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Cauliflower","Local Medium (8-10 cm diameter/bunch hd)","132.23","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Cabbage","Rare Ball, 510 gm - 1 kg/head","69.91","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Cabbage","Scorpio, 750 gm - 1 kg/head","76.85","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Cabbage","Wonder Ball, 510 gm - 1 kg/head","67.1","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Carrots","Local 8-10 pcs/kg","157.86","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Celery","Medium (501-800 g)","152.69","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Chayote","Medium (301-400 g)","55.53","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Habichuelas/Baguio Beans","Habichuelas/Baguio Beans","105.18","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Pechay Baguio","Pechay Baguio","76.96","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Lettuce","Green Ice","146.87","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Lettuce","Iceberg, Medium (301-450 cm diameter/bunch hd)","182.42","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","Lettuce","Romaine","137.8","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-09","White Potato","Local 10-12 pcs/kg","100.39","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-07","Corn","White Cob, Glutinous","78","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Corn","Grits White, Food Grade","120","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Corn","Grits Yellow, Food Grade","120","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Corn","Grits, Feed Grade","45","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Ampalaya","4-5 pcs/kg","120.27","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Eggplant","3-4 Small Bundles","80.87","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Pechay","3-4 Small Bundles","72.85","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Pole Sitao","3-4 Small Bundles","107.66","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Squash","Suprema Variety","71.7","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Tomato","15-18 pcs/kg","60.55","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Bell Pepper","Green, Local Medium (151-250gm/pc)","293.73","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Bell Pepper","Red, Local Medium (151-250gm/pc)","292.3","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Cabbage","Rare Ball, 510 gm - 1 kg/head","71.13","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Cabbage","Scorpio, 750 gm - 1 kg/head","77.07","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Cabbage","Wonder Ball, 510 gm - 1 kg/head","66.61","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Carrots","Local 8-10 pcs/kg","167.36","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Celery","Medium (501-800 g)","149.43","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Chayote","Medium (301-400 g)","56.14","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Habichuelas/Baguio Beans","Habichuelas/Baguio Beans","108.04","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Lettuce","Green Ice","149.34","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Lettuce","Iceberg, Medium (301-450 cm diameter/bunch hd)","186.79","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","Lettuce","Romaine","141.64","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-07","White Potato","Local 10-12 pcs/kg","99.92","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-06","Ampalaya","4-5 pcs/kg","124.93","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-06","Eggplant","3-4 Small Bundles","82.36","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-06","Pechay","3-4 Small Bundles","72.46","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-06","Pechay Baguio","Pechay Baguio","77.57","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-06","Pole Sitao","3-4 Small Bundles","107.35","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-06","Squash","Suprema Variety","71.82","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-06","Tomato","15-18 pcs/kg","61.71","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-05","Pechay","3-4 Small Bundles","73.33","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Pole Sitao","3-4 Small Bundles","134.44","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Squash","Suprema Variety","81.11","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Tomato","15-18 pcs/kg","68.33","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Bell Pepper","Green, Local Medium (151-250gm/pc)","340","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Bell Pepper","Red, Local Medium (151-250gm/pc)","323.33","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Broccoli","Local Medium (8-10 cm diameter/bunch hd)","150","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Cauliflower","Local Medium (8-10 cm diameter/bunch hd)","150","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Cabbage","Rare Ball, 510 gm - 1 kg/head","81.67","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Cabbage","Scorpio, 750 gm - 1 kg/head","100","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Cabbage","Wonder Ball, 510 gm - 1 kg/head","70","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Carrots","Local 8-10 pcs/kg","180","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Celery","Medium (501-800 g)","161.67","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Chayote","Medium (301-400 g)","66.67","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Habichuelas/Baguio Beans","Habichuelas/Baguio Beans","126.67","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Lettuce","Green Ice","168.57","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Lettuce","Iceberg, Medium (301-450 cm diameter/bunch hd)","225","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Lettuce","Romaine","156.67","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","White Potato","Local 10-12 pcs/kg","117.22","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-04-05","Rice","Special Rice White Rice","59.86","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-05","Rice","Premium, 5% broken","55.44","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-05","Rice","Well Milled, 1-19% bran streak","50.17","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-05","Rice","Regular Milled, 20-40% bran streak","44.17","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-05","Corn","White Cob, Glutinous","85","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-05","Corn","Grits, Feed Grade","50","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-05","Ampalaya","4-5 pcs/kg","136.11","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-05","Chili","Green Siling Haba","112.22","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-05","Eggplant","3-4 Small Bundles","96.67","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-04-03","Ampalaya","4-5 pcs/kg","123.03","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Eggplant","3-4 Small Bundles","81.26","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Pechay","3-4 Small Bundles","72.14","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Pechay Baguio","Pechay Baguio","77.29","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Pole Sitao","3-4 Small Bundles","107.48","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Squash","Suprema Variety","74.83","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Tomato","15-18 pcs/kg","61.81","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Bell Pepper","Green, Local Medium (151-250gm/pc)","312.33","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Bell Pepper","Red, Local Medium (151-250gm/pc)","298.95","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Cabbage","Rare Ball, 510 gm - 1 kg/head","69.81","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Cabbage","Scorpio, 750 gm - 1 kg/head","80.83","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Cabbage","Wonder Ball, 510 gm - 1 kg/head","68.96","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Carrots","Local 8-10 pcs/kg","168.47","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Celery","Medium (501-800 g)","158","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Chayote","Medium (301-400 g)","57.83","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Habichuelas/Baguio Beans","Habichuelas/Baguio Beans","107.56","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Lettuce","Green Ice","155.13","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","Lettuce","Romaine","149.57","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-04-03","White Potato","Local 10-12 pcs/kg","99.88","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-31","Rice","Special Rice White Rice","60.88","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Rice","Premium, 5% broken","55.5","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Rice","Well Milled, 1-19% bran streak","49.7","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Rice","Regular Milled, 20-40% bran streak","43.61","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Corn","White Cob, Glutinous","78","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Corn","Grits White, Food Grade","120","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Corn","Grits Yellow, Food Grade","120","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Corn","Cracked Yellow, Food Grade","50","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Corn","Grits, Feed Grade","50","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Ampalaya","4-5 pcs/kg","125.42","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Chili","Green Siling Haba","96.21","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Eggplant","3-4 Small Bundles","85.08","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Pechay","3-4 Small Bundles","74.73","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Pole Sitao","3-4 Small Bundles","116.95","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Squash","Suprema Variety","74.77","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Tomato","15-18 pcs/kg","63.17","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Bell Pepper","Green, Local Medium (151-250gm/pc)","309.53","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Bell Pepper","Red, Local Medium (151-250gm/pc)","313.71","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Broccoli","Local Medium (8-10 cm diameter/bunch hd)","156","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Cauliflower","Local Medium (8-10 cm diameter/bunch hd)","130.79","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Cabbage","Rare Ball, 510 gm - 1 kg/head","71.16","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Cabbage","Scorpio, 750 gm - 1 kg/head","81.38","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Cabbage","Wonder Ball, 510 gm - 1 kg/head","68.6","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Carrots","Local 8-10 pcs/kg","151.85","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Celery","Medium (501-800 g)","155.18","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Chayote","Medium (301-400 g)","57.9","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Habichuelas/Baguio Beans","Habichuelas/Baguio Beans","115.5","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Pechay Baguio","Pechay Baguio","82.79","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Lettuce","Green Ice","149.66","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Lettuce","Iceberg, Medium (301-450 cm diameter/bunch hd)","201.47","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","Lettuce","Romaine","144.25","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-31","White Potato","Local 10-12 pcs/kg","101.37","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-30","Rice","Special Rice White Rice","60.58","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Rice","Premium, 5% broken","55.51","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Rice","Well Milled, 1-19% bran streak","49.41","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Rice","Regular Milled, 20-40% bran streak","44.05","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Corn","White Cob, Glutinous","75.29","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Corn","Grits White, Food Grade","120","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Corn","Grits Yellow, Food Grade","120","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Corn","Grits, Feed Grade","46.67","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Ampalaya","4-5 pcs/kg","126.15","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Chili","Green Siling Haba","93.66","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Eggplant","3-4 Small Bundles","84.17","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Pechay","3-4 Small Bundles","73.65","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Pole Sitao","3-4 Small Bundles","118.58","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Squash","Suprema Variety","75.54","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Tomato","15-18 pcs/kg","62.41","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Bell Pepper","Green, Local Medium (151-250gm/pc)","313.42","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Bell Pepper","Red, Local Medium (151-250gm/pc)","315.64","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Broccoli","Local Medium (8-10 cm diameter/bunch hd)","146.67","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Cauliflower","Local Medium (8-10 cm diameter/bunch hd)","130","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Cabbage","Rare Ball, 510 gm - 1 kg/head","68.9","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Cabbage","Scorpio, 750 gm - 1 kg/head","80.32","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Cabbage","Wonder Ball, 510 gm - 1 kg/head","67.13","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Carrots","Local 8-10 pcs/kg","154.06","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Celery","Medium (501-800 g)","153.82","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Chayote","Medium (301-400 g)","57.34","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Habichuelas/Baguio Beans","Habichuelas/Baguio Beans","113.88","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Lettuce","Green Ice","145.26","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Lettuce","Iceberg, Medium (301-450 cm diameter/bunch hd)","194","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","Lettuce","Romaine","136.63","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-30","White Potato","Local 10-12 pcs/kg","100.29","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-29","Corn","White Cob, Glutinous","80","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Corn","Grits, Feed Grade","45","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Ampalaya","4-5 pcs/kg","130.83","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Chili","Green Siling Haba","95","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Eggplant","3-4 Small Bundles","81.67","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Pechay","3-4 Small Bundles","72.5","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Pole Sitao","3-4 Small Bundles","115.83","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Squash","Suprema Variety","78.33","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Tomato","15-18 pcs/kg","62.5","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Bell Pepper","Green, Local Medium (151-250gm/pc)","332.5","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Bell Pepper","Red, Local Medium (151-250gm/pc)","320.83","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Cabbage","Rare Ball, 510 gm - 1 kg/head","70","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Cabbage","Scorpio, 750 gm - 1 kg/head","80","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Cabbage","Wonder Ball, 510 gm - 1 kg/head","71.67","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Carrots","Local 8-10 pcs/kg","155.83","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Celery","Medium (501-800 g)","170","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Chayote","Medium (301-400 g)","61.67","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Habichuelas/Baguio Beans","Habichuelas/Baguio Beans","116.67","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Pechay Baguio","Pechay Baguio","75","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Lettuce","Green Ice","154","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Lettuce","Iceberg, Medium (301-450 cm diameter/bunch hd)","224","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","Lettuce","Romaine","154.29","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-29","White Potato","Local 10-12 pcs/kg","104.58","2026-04-11 03:40:18","2026-04-11 03:40:18"
"2026-03-28","Lettuce","Romaine","137.27","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-28","White Potato","Local 10-12 pcs/kg","101.64","2026-04-11 03:40:17","2026-04-11 03:40:17"
"2026-03-28","Rice","Special Rice White Rice","60.43","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Rice","Premium, 5% broken","55.41","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Rice","Well Milled, 1-19% bran streak","49.33","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Rice","Regular Milled, 20-40% bran streak","43.8","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Corn","White Cob, Glutinous","84.29","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Corn","Grits White, Food Grade","120","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Corn","Grits Yellow, Food Grade","120","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Corn","Cracked Yellow, Food Grade","50","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Corn","Grits, Feed Grade","46.67","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Ampalaya","4-5 pcs/kg","129.78","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Eggplant","3-4 Small Bundles","87.88","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Pechay","3-4 Small Bundles","73.9","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Pole Sitao","3-4 Small Bundles","121.76","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Squash","Suprema Variety","76.72","2026-04-11 03:40:16","2026-04-11 03:40:16"
"2026-03-28","Tomato","15-18 pcs/kg","63.25","2026-04-11 03:40:16","2026-04-11 03:40:16"
